Date,PositiveReturn,PredictedValue,PredictedMinusActual,EquityPriceLevel,EquityPriceReturns,BAMLH0A0HYM2,BAMLC0A0CM,BAMLC0A4CBBB,BAMLH0A1HYBB,BAMLH0A3HYC,Equity_Position,Strategy_Cum_Rtn,Equity_Cum_Rtn
2019-07-09,1,0,-1,286.180481,0.001246652,-0.014218009,-0.0078125,-0.006134969,-0.018796992,-0.008791209,0.0,1.092603139128015,1.1583002800244306
2019-07-10,1,0,-1,287.5478516,0.004778001,0.007211538,0.015748031,0.012345679,0.007662835,0.00886918,0.0,1.092603139128015,1.1638346399206876
2019-07-11,1,1,0,288.2219238,0.002344209,0.040572792,0.023255814,0.024390244,0.049429658,0.027472527,0.002344209,1.0951644292401874,1.1665629115581015
2019-07-12,1,1,0,289.5123291,0.004477124,-0.006880734,-0.007575758,-0.005952381,-0.014492754,-0.002139037,0.004477124,1.1000676161902851,1.1717857583669484
2019-07-15,1,0,-1,289.608551,0.000332359,0.060046189,0.030534351,0.023952096,0.080882353,0.064308682,0.0,1.1000676161902851,1.1721752119098134
2019-07-16,0,0,0,288.6744995,-0.003225221,0.023965142,0.007407407,0.011695906,0.037414966,0.010070493,-0.0,1.1000676161902851,1.1683946878006826
2019-07-17,0,1,1,286.7100525,-0.006805059,-0.036170213,-0.007352941,-0.005780347,-0.055737705,-0.017946162,-0.006805059,1.092581591158121,1.1604436930149125
2019-07-18,1,1,0,287.7597351,0.003661129,-0.011037528,-0.007407407,-0.011627907,-0.020833333,-0.001015228,0.003661129,1.096581673306376,1.1646922270722764
2019-07-19,0,1,1,286.1612549,-0.005554913,-0.013392857,0.0,0.005882353,-0.021276596,0.0,-0.005554913,1.0904902575137647,1.1582224630791136
2019-07-22,1,0,-1,286.8641357,0.00245624,-0.011312217,0.0,0.0,-0.02173913,-0.005081301,0.0,1.0904902575137647,1.161067335421827
2019-07-23,1,1,0,288.9152527,0.007150134,-0.032036613,-0.014925373,-0.01754386,-0.037037037,-0.020429009,0.007150134,1.0982874089806827,1.169369122453116
2019-07-24,1,1,0,290.2730408,0.004699607,-0.007092199,0.0,0.0,-0.019230769,0.0,0.004699607,1.10344892817594,1.1748646977665806
2019-07-25,0,1,1,288.8863831,-0.004777081,0.004761905,0.0,0.0,0.007843137,-0.003128259,-0.004777081,1.0981776632666804,1.1692522739413092
2019-07-26,1,1,0,290.8218994,0.006699922,0.004739336,0.0,0.0,0.003891051,0.0041841,0.006699922,1.1055353679527093,1.1770861729750384
2019-07-29,0,1,1,290.2922363,-0.001821263,-0.002358491,0.0,0.0,-0.007751938,-0.00625,-0.001821263,1.1035218972918657,1.1749423894803874
2019-07-30,0,1,1,289.5796204,-0.002454822,0.0,0.0,0.0,0.0,-0.002096436,-0.002454822,1.1008129474609119,1.1720581150539584
2019-07-31,0,1,1,286.4115906,-0.010940099,-0.021276596,-0.015151515,-0.011904762,-0.02734375,-0.011554622,-0.010940099,1.0887699448352077,1.1592356832415147
2019-08-01,0,1,1,283.9174805,-0.008708133,0.004830918,0.0,0.0,0.008032129,0.004250797,-0.008708133,1.0792887913491802,1.1491409047335017
