RunDate,PeriodEndDate,FeatureLag,n_estimators,min_samples_split,max_features,max_depth
10/21/2021,10/6/2021,66,292,49,1,149
10/21/2021,10/6/2021,67,386,2,5,3419
10/21/2021,10/6/2021,68,170,13,5,5153
10/21/2021,10/6/2021,69,467,20,4,4117
10/21/2021,10/6/2021,70,10,38,5,469
10/21/2021,10/6/2021,71,232,22,1,3688
10/21/2021,10/6/2021,72,686,44,3,3726
10/21/2021,10/6/2021,73,164,2,2,5115
10/21/2021,10/6/2021,74,775,34,1,1525
10/21/2021,10/6/2021,75,44,34,2,5497
10/21/2021,10/6/2021,76,912,50,3,469
10/21/2021,10/6/2021,77,489,4,3,3613
10/21/2021,10/6/2021,78,991,30,1,287
10/21/2021,10/6/2021,79,968,45,5,616
10/21/2021,10/6/2021,80,167,49,3,4546
10/21/2021,10/6/2021,81,250,49,3,4886
10/21/2021,10/6/2021,82,105,38,3,3391
10/21/2021,10/6/2021,83,849,40,4,4391
10/21/2021,10/6/2021,84,589,21,5,5979
10/21/2021,10/6/2021,85,652,2,5,4876
10/21/2021,10/6/2021,86,531,28,1,1150
10/21/2021,10/6/2021,87,87,20,2,5327
10/21/2021,10/6/2021,88,750,19,5,5927
10/21/2021,10/6/2021,89,910,13,2,2753
10/21/2021,10/6/2021,90,473,15,1,935
10/21/2021,10/7/2021,1,280,22,1,2004
10/21/2021,10/7/2021,2,440,2,5,4517
10/21/2021,10/7/2021,3,916,43,3,5847
10/21/2021,10/7/2021,4,646,24,2,944
10/21/2021,10/7/2021,5,776,45,4,5796
10/21/2021,10/7/2021,6,108,39,5,456
10/21/2021,10/7/2021,7,42,9,3,2191
10/21/2021,10/7/2021,8,909,22,2,366
10/21/2021,10/7/2021,9,378,47,1,4270
10/21/2021,10/7/2021,10,724,42,5,2575
10/21/2021,10/7/2021,11,78,50,4,971
10/21/2021,10/7/2021,12,769,16,3,232
10/21/2021,10/7/2021,13,551,19,2,3843
10/21/2021,10/7/2021,14,113,36,1,3835
10/21/2021,10/7/2021,15,357,11,1,80
10/21/2021,10/7/2021,16,28,28,4,2968
10/21/2021,10/7/2021,17,258,20,3,2609
10/21/2021,10/7/2021,18,262,21,3,2411
10/21/2021,10/7/2021,19,792,13,5,3650
10/21/2021,10/7/2021,20,85,17,5,5082
10/21/2021,10/7/2021,21,668,36,2,2095
10/21/2021,10/7/2021,22,227,25,2,5637
10/21/2021,10/7/2021,23,655,45,5,136
10/21/2021,10/7/2021,24,240,12,2,2327
10/21/2021,10/7/2021,25,531,23,1,490
10/21/2021,10/7/2021,26,61,9,5,5021
10/21/2021,10/7/2021,27,587,46,4,5439
10/21/2021,10/7/2021,28,935,31,2,2212
10/21/2021,10/7/2021,29,702,29,1,3325
10/21/2021,10/7/2021,30,108,20,3,4246
10/21/2021,10/7/2021,31,488,40,1,1904
10/21/2021,10/7/2021,32,908,7,1,4219
10/21/2021,10/7/2021,33,839,18,3,176
10/21/2021,10/7/2021,34,12,50,5,4407
10/21/2021,10/7/2021,35,88,19,4,405
10/21/2021,10/7/2021,36,32,35,2,4024
10/21/2021,10/7/2021,37,432,38,1,2061
10/21/2021,10/7/2021,38,363,6,1,4880
10/21/2021,10/7/2021,39,566,3,2,2132
10/21/2021,10/7/2021,40,726,50,4,4946
10/21/2021,10/7/2021,41,270,30,3,5824
10/21/2021,10/7/2021,42,607,45,3,3146
10/21/2021,10/7/2021,43,38,32,1,1038
10/21/2021,10/7/2021,44,788,48,2,82
10/21/2021,10/7/2021,45,136,36,2,1385
10/21/2021,10/7/2021,46,878,41,1,5373
10/21/2021,10/7/2021,47,994,3,3,5106
10/21/2021,10/7/2021,48,60,35,3,4187
10/21/2021,10/7/2021,49,322,41,5,5683
10/21/2021,10/7/2021,50,19,23,1,5295
10/21/2021,10/7/2021,51,105,43,1,2537
10/21/2021,10/7/2021,52,263,44,1,3595
10/21/2021,10/7/2021,53,462,49,1,2113
10/21/2021,10/7/2021,54,305,46,1,4543
10/21/2021,10/7/2021,55,349,46,3,3495
10/21/2021,10/7/2021,56,710,45,2,4612
10/21/2021,10/7/2021,57,448,44,5,5743
10/21/2021,10/7/2021,58,278,35,3,5401
10/21/2021,10/7/2021,59,437,21,2,3768
10/21/2021,10/7/2021,60,29,3,2,425
10/21/2021,10/7/2021,61,62,33,2,2065
10/21/2021,10/7/2021,62,371,50,2,1007
10/21/2021,10/7/2021,63,765,44,5,2832
10/21/2021,10/7/2021,64,308,17,1,3510
10/21/2021,10/7/2021,65,556,43,2,5832
10/21/2021,10/7/2021,66,85,35,1,4012
10/21/2021,10/7/2021,67,410,16,5,4873
10/21/2021,10/7/2021,68,927,22,4,4073
10/21/2021,10/7/2021,69,302,21,5,3284
10/21/2021,10/7/2021,70,197,47,5,3598
10/21/2021,10/7/2021,71,565,44,4,3318
10/21/2021,10/7/2021,72,894,43,3,3181
10/21/2021,10/7/2021,73,880,2,1,2067
10/21/2021,10/7/2021,74,951,7,2,4243
10/21/2021,10/7/2021,75,534,47,1,903
10/21/2021,10/7/2021,76,644,43,2,953
10/21/2021,10/7/2021,77,275,4,2,4035
10/21/2021,10/7/2021,78,931,20,3,4870
10/21/2021,10/7/2021,79,684,49,4,4079
10/21/2021,10/7/2021,80,38,23,3,1071
10/21/2021,10/7/2021,81,479,23,3,843
10/21/2021,10/7/2021,82,749,39,4,2039
10/21/2021,10/7/2021,83,542,32,1,4844
10/21/2021,10/7/2021,84,978,18,3,2901
10/21/2021,10/7/2021,85,931,8,4,4513
10/21/2021,10/7/2021,86,257,37,3,5342
10/21/2021,10/7/2021,87,272,39,2,130
10/21/2021,10/7/2021,88,298,20,4,729
10/21/2021,10/7/2021,89,560,43,3,3092
10/21/2021,10/7/2021,90,942,46,1,3714
10/21/2021,10/8/2021,1,560,21,1,4382
10/21/2021,10/8/2021,2,719,13,5,371
10/21/2021,10/8/2021,3,600,32,5,3879
10/21/2021,10/8/2021,4,880,31,4,5908
10/21/2021,10/8/2021,5,420,41,4,3238
10/21/2021,10/8/2021,6,378,45,1,2219
10/21/2021,10/8/2021,7,817,3,2,286
10/21/2021,10/8/2021,8,561,30,1,5123
10/21/2021,10/8/2021,9,419,33,5,1820
10/21/2021,10/8/2021,10,817,49,2,117
10/21/2021,10/8/2021,11,679,48,2,1471
10/21/2021,10/8/2021,12,856,18,4,2874
10/21/2021,10/8/2021,13,223,47,1,5910
10/21/2021,10/8/2021,14,545,6,2,370
10/21/2021,10/8/2021,15,529,27,3,475
10/21/2021,10/8/2021,16,688,43,1,4642
10/21/2021,10/8/2021,17,581,22,2,5666
10/21/2021,10/8/2021,18,139,15,5,4773
10/21/2021,10/8/2021,19,531,16,5,3754
10/21/2021,10/8/2021,20,946,24,1,4238
10/21/2021,10/8/2021,21,167,35,2,1944
10/21/2021,10/8/2021,22,102,49,1,2851
10/21/2021,10/8/2021,23,980,38,4,57
10/21/2021,10/8/2021,24,178,22,3,5092
10/21/2021,10/8/2021,25,681,18,1,3499
10/21/2021,10/8/2021,26,232,15,2,3242
10/21/2021,10/8/2021,27,306,41,5,3968
10/21/2021,10/8/2021,28,470,49,1,1606
10/21/2021,10/8/2021,29,495,40,4,5559
10/21/2021,10/8/2021,30,137,37,1,5897
10/21/2021,10/8/2021,31,799,42,4,1046
10/21/2021,10/8/2021,32,718,7,1,1862
10/21/2021,10/8/2021,33,158,12,1,5477
10/21/2021,10/8/2021,34,362,45,4,1917
10/21/2021,10/8/2021,35,399,3,5,145
10/21/2021,10/8/2021,36,42,6,1,2076
10/21/2021,10/8/2021,37,523,34,1,126
10/21/2021,10/8/2021,38,915,14,1,2415
10/21/2021,10/8/2021,39,772,10,1,3407
10/21/2021,10/8/2021,40,95,24,1,691
10/21/2021,10/8/2021,41,938,49,1,3079
10/21/2021,10/8/2021,42,316,41,3,74
10/21/2021,10/8/2021,43,668,50,2,1709
10/21/2021,10/8/2021,44,838,45,2,650
10/21/2021,10/8/2021,45,329,30,2,5132
