FeatureLag,n_estimators,min_samples_split,max_features,max_depth
33,240.10300819742878,11.682154222262573,1.0787197799411874,2019.4367936720287
34,236.35627960579112,14.63805749656447,1.8488325554743508,1919.4730195361624
35,218.92485219611527,15.641436809147216,1.044465935734187,2130.4414694014604
36,363.985189508884,14.32036058459169,1.6011359603844904,1500.1952842577166
37,302.3754138634471,5.554686800760728,1.6624188291872668,1931.2725856284503
38,286.88616684544536,11.655665809148163,0.9438798074485389,1117.1973700454025
39,256.67974386205645,17.66918221084383,1.4893561757289013,1385.0179650951693
40,260.54973351812055,9.245146146639721,1.3684762594679063,1762.256704032954
41,373.19828996977424,16.79935063680087,1.0954451150103321,2169.9535395110106
42,244.62096840176676,5.889898903284256,1.4709304414677002,1364.921189866087
43,381.88827495152896,10.649797266529623,0.6875516509523286,1609.551202269525
44,290.2579417126648,6.845038017027041,1.1281521496355325,2229.935327231793
45,400.07058468134437,11.025590068728128,1.4832396974191326,1987.1449505623525
46,329.54616175472705,14.222261679238196,1.1361818036340359,1825.0134993274085
47,309.73208364062583,20.02906978278413,1.1908743922772957,2054.6839880889447
48,337.63495618250727,6.576818794413106,1.6348477827391983,1577.783589262309
49,281.2011573750914,10.337047230933283,1.0954451150103321,1866.3437761862338
50,314.3056994826418,13.101700097870713,0.6875516509523286,2162.1023733226125
51,255.13066171170908,14.288584127324736,1.136181803634036,2125.4842314592265
52,305.8147983814565,3.3493554332411213,1.5374122295716148,1457.844629456913
53,261.35047872019044,10.808246010254477,1.4142135623730951,1725.6799503120762
54,321.9438686253468,6.030226891555272,1.4142135623730951,1431.6568341991356
55,266.23916111100357,16.94161095699526,1.1281521496355325,1874.2535580865253
56,280.9277810787288,7.978379876550468,1.2504544628399563,1856.256286184642
57,289.308580144894,11.482793451706144,1.5666989036012806,1961.6842160848323
58,287.9176334238034,14.472544539732654,1.4893561757289013,1923.1526342299132
59,266.5367107582334,13.431306712304652,1.3280197150781927,1468.2432359796521
60,348.81915085040845,18.16640255576711,1.2862913567871996,1914.7424939614773
61,370.8814561897839,7.797435475847171,1.2933395813657265,2063.6483844263425
62,230.0575422090585,15.584957782775968,0.8090398349558905,1462.1017624079261
63,283.89943802179477,11.823705003085962,1.2504544628399563,1749.5936359363825
64,297.6306741278832,11.29118723123964,1.5015143870590966,1937.1598328950085
65,327.40000555339583,4.238353024894974,1.3751033019046572,1685.8498639073302
66,295.9773947142217,5.066826153789695,1.507556722888818,2039.7876493756537
67,269.08710992404065,7.187109673195858,1.4459976109624424,1819.84511828492
68,307.39657536390115,12.794174810862524,1.662418829187267,1653.8125319724393
69,319.6330566588677,9.436871592564215,1.2060453783110545,1120.3806009160865
70,386.8590064986092,14.69755700169868,1.3483997249264843,1440.753628550634
71,285.97345712813654,14.888067216887002,1.009049958219026,1384.069526629878
72,310.390721510808,7.993178910227713,0.894427190999916,1623.3877428502296
73,240.19170373985557,11.496244446063088,1.4142135623730951,1763.8764386739483
74,371.240745216754,16.746777166205604,1.3280197150781923,2050.9680330827373
75,321.6811521310561,9.22053045210425,1.1037127426019047,1842.148039653708
76,292.56495782211266,11.349809770131914,0.674199862463242,1833.818029041149
77,286.6736820847006,4.31487911976475,0.6875516509523286,1534.0147859901363
78,312.6457478302938,10.423749107425094,1.6348477827391983,1584.4826973437791
79,311.9973776113569,15.449624885119674,1.5374122295716148,1434.548589119746
80,355.0563591626239,10.931189738125903,1.2060453783110545,1773.6535328370799
81,251.58537318373658,11.824473849528434,1.2210278829367867,1774.5537057371507
82,327.18810269545946,9.843317991963332,1.2933395813657265,1959.6723891322429
83,292.235801428168,11.209573830192896,1.634847782739198,1707.5311310884974
84,294.5301651475078,9.089454429072287,1.513574937328539,1684.158446443586
85,274.77203774633387,10.171260760325902,1.5550504230351563,1296.273680418396
86,236.24963684435772,7.243806131635997,1.009049958219026,1890.952357459547
87,304.18878707443866,16.373481886602775,1.1832159566199232,2053.0148961067875
88,273.02866982325236,13.589434398558584,1.0954451150103321,1764.7910254861233
89,291.32643359141116,13.439426394685965,1.3684762594679063,1755.9975408970151
90,250.29313723203546,10.866964115653879,1.4709304414677,2139.558930756949
