Date,PositiveReturn,PredictedValue,PredictedMinusActual,Close,EquityPriceReturns,BAMLH0A0HYM2,BAMLC0A0CM,BAMLC0A4CBBB,BAMLH0A1HYBB,BAMLH0A3HYC,Equity_Position,Strategy_Cum_Rtn,Equity_Cum_Rtn
2019-07-08,0,1,1,285.8241272,-0.005494905,0.017902813,0.007874016,0.006060606,0.025531915,0.011982571,-0.005494905,1.073791220362476,1.156857882144499
2019-07-09,1,1,0,286.1804199,0.001246545,0.030150754,0.0078125,0.006024096,0.041493776,0.016146394,0.001246545,1.0751297494392629,1.158299957553197
2019-07-10,1,1,0,287.547821,0.004778109,0.019512195,0.0,0.005988024,0.023904382,0.011652542,0.004778109,1.0802668365712265,1.1638344410050816
2019-07-11,1,0,-1,288.2218933,0.002344209,-0.014354067,0.0,-0.005952381,-0.019455253,-0.012565445,0.0,1.0802668365712265,1.166562712176196
2019-07-12,1,1,0,289.5122375,0.004476913,-0.009708738,-0.007751938,-0.005988024,-0.015873016,-0.004241782,0.004476913,1.085103097215341,1.1717853119476527
2019-07-15,1,1,0,289.608551,0.000332675,-0.022058824,0.0,0.0,-0.028225806,-0.015974441,0.000332675,1.085464083888207,1.1721751356263048
2019-07-16,0,1,1,288.6744995,-0.003225221,-0.010025063,-0.0078125,-0.006024096,-0.008298755,-0.006493506,-0.003225221,1.081963222330105,1.168394611763205
2019-07-17,0,1,1,286.710144,-0.006804742,0.0,-0.007874016,-0.006060606,-0.008368201,0.009803922,-0.006804742,1.07460074174866,1.160443987875966
2019-07-18,1,0,-1,287.7597046,0.003660703,0.0,0.0,-0.006097561,0.0,-0.002157497,0.0,1.07460074174866,1.1646920286637155
2019-07-19,0,1,1,286.1611938,-0.005555019,-0.010126582,-0.007936508,-0.006134969,-0.016877637,-0.004324324,-0.005555019,1.0686313142108321,1.15822214231534
2019-07-22,1,1,0,286.8641663,0.002456561,0.015345269,0.008,0.00617284,0.025751073,0.006514658,0.002456561,1.0712564722207012,1.1610673856594884
2019-07-23,1,1,0,288.9152222,0.00714992,-0.012594458,-0.007936508,-0.006134969,-0.025104603,0.0,0.00714992,1.0789158702965616,1.169368924581563
2019-07-24,1,0,-1,290.2730408,0.004699713,0.028061224,0.0,0.0,0.038626609,0.021574973,0.0,1.0789158702965616,1.174864622918215
2019-07-25,0,1,1,288.886322,-0.004777291,0.024813896,0.0,0.0,0.024793388,0.011615628,-0.004777291,1.0737615752196366,1.1692519527289293
2019-07-26,1,1,0,290.8218994,0.006700135,-0.00968523,0.0,-0.00617284,-0.004032258,-0.004175365,0.006700135,1.0809559227314207,1.1770860986612268
2019-07-29,0,1,1,290.2922668,-0.001821158,0.0,0.0,0.00621118,0.0,-0.001048218,-0.001821158,1.078987331205091,1.174942438895961
2019-07-30,0,1,1,289.5796814,-0.002454717,-0.002444988,0.0,0.0,-0.004048583,-0.002098636,-0.002454717,1.0763387226603973,1.1720582877171817
2019-07-31,0,1,1,286.4115601,-0.010940413,-0.022058824,0.0,-0.00617284,-0.028455285,-0.014721346,-0.010940413,1.0645631325066,1.159235485989483
2019-08-01,0,1,1,283.917511,-0.00870792,0.015037594,0.016,0.01242236,0.020920502,-0.001067236,-0.00870792,1.0552930019137832,1.1491409561163253
2019-08-02,0,1,1,281.7797852,-0.007529391,-0.027160494,-0.015748031,-0.006134969,-0.045081967,-0.021367521,-0.007529391,1.0473472882828105,1.1404886245436117
2019-08-05,0,1,1,273.3057861,-0.030073126,0.002538071,0.0,0.0,0.012875536,0.0,-0.030073126,1.0158502813165233,1.1061905664361449
2019-08-06,1,1,0,277.1383362,0.014022938,-0.012658228,-0.008,-0.012345679,-0.016949153,-0.012008734,0.014022938,1.0300954868287076,1.121702608165464
2019-08-07,1,0,-1,277.302002,0.000590556,0.0,0.0,0.0,0.004310345,-0.00441989,0.0,1.0300954868287076,1.1223650363709317
2019-08-08,1,1,0,282.7427063,0.019620141,-0.01025641,-0.008064516,-0.00625,-0.017167382,-0.007769145,0.019620141,1.0503061055237506,1.1443859966379997
2019-08-09,0,1,1,280.8167725,-0.006811613,-0.005181347,-0.008130081,-0.006289308,-0.004366812,-0.006711409,-0.006811613,1.0431518268013857,1.1365908821062822
2019-08-12,0,1,1,277.3983459,-0.012173156,0.005208333,0.0,-0.006329114,0.004385965,0.007882883,-0.012173156,1.0304533768820474,1.1227549839902249
2019-08-13,1,1,0,281.7123108,0.015551516,0.0,-0.008196721,-0.006369427,0.008733624,-0.003351955,0.015551516,1.0464784890598826,1.1402155260878286
2019-08-14,0,1,1,273.382782,-0.0295675,-0.018134715,-0.008264463,-0.012820513,-0.034632035,-0.003363229,-0.0295675,1.0155367363346046,1.1065022035202268
2019-08-15,1,1,0,274.10495,0.0026416,-0.029023747,-0.016666667,-0.019480519,-0.044843049,-0.010123735,0.0026416,1.0182193781773061,1.1094251397410457
2019-08-16,1,1,0,278.1494446,0.014755278,0.0,-0.008474576,-0.006622517,0.014084507,-0.007954545,0.014755278,1.0332434881672994,1.1257950160981136
2019-08-19,1,1,0,281.5004578,0.012047528,-0.010869565,-0.008547009,-0.006666667,-0.018518519,-0.008018328,0.012047528,1.0456915180218127,1.139358063076816
2019-08-20,0,0,0,279.3434448,-0.007662556,0.008241758,0.0,0.0,0.018867925,-0.005773672,-0.0,1.0456915180218127,1.1306276681144385
2019-08-21,1,0,-1,281.6160583,0.008135553,0.016348774,0.00862069,0.006711409,0.018518519,0.011614402,0.0,1.0456915180218127,1.1398259494316498
2019-08-22,0,0,0,281.5293884,-0.000307759,0.0,0.0,0.0,0.0,0.002296211,-0.0,1.0456915180218127,1.1394751577372786
2019-08-23,0,0,0,274.2975769,-0.02568759,-0.002680965,0.0,0.0,-0.004545455,0.001145475,-0.0,1.0456915180218127,1.1102047870701381
2019-08-26,1,1,0,277.3309021,0.01105852,0.002688172,0.0,0.0,0.00913242,-0.005720824,0.01105852,1.0572553185876872,1.1224820089120489
2019-08-27,0,1,1,276.2427368,-0.003923707,0.00536193,0.0,0.0,0.009049774,0.0,-0.003923707,1.0531069584933574,1.1180777183963067
2019-08-28,1,1,0,278.1879883,0.007041819,0.002666667,0.0,-0.006666667,0.00896861,0.0,0.007041819,1.060522747082708,1.1259510193171862
2019-08-29,1,1,0,281.7412415,0.012772849,-0.007978723,-0.008547009,-0.006711409,-0.013333333,-0.013808976,0.012772849,1.0740686439922609,1.1403326216683207
2019-08-30,0,1,1,281.6160583,-0.000444319,0.0,0.00862069,0.013513514,0.018018018,-0.032672112,-0.000444319,1.073591414886431,1.1398259502181938
2019-09-03,0,1,1,279.9693604,-0.005847316,-0.005347594,0.0,0.0,-0.008810573,0.00120919,-0.005847316,1.0673137866287028,1.1331610277022677
2019-09-04,1,1,0,283.1472168,0.011350729,0.02688172,0.0,0.006666667,0.031111111,0.013285024,0.011350729,1.0794285761786888,1.1460232314410774
2019-09-05,1,1,0,286.7871094,0.012855124,0.018324607,0.008474576,0.006622517,0.025862069,0.016686532,0.012855124,1.0933047643746094,1.1607555021881333
2019-09-06,1,1,0,287.008606,0.000772338,-0.005141388,0.008403361,0.006578947,-0.004201681,0.009378664,0.000772338,1.094149165189717,1.1616519977711823
2019-09-09,1,1,0,287.1530151,0.000503153,0.031007752,0.016666667,0.013071895,0.046413502,0.009291521,0.000503153,1.0946996896246297,1.1622364864588168
2019-09-10,0,1,1,287.0856323,-0.000234658,0.005012531,0.0,0.006451613,0.008064516,0.006904488,-0.000234658,1.0944428095848617,1.1619637583693774
2019-09-11,1,0,-1,289.1271057,0.007111026,0.047381546,0.016393443,0.012820513,0.064,0.029714286,0.0,1.0944428095848617,1.1702265128661997
2019-09-12,1,1,0,290.1286011,0.003463858,-0.016666667,0.0,0.0,-0.022556391,-0.011098779,0.003463858,1.0982338040663846,1.1742800113346032
2019-09-13,0,1,1,289.9359741,-0.000663936,0.00968523,0.0,0.0,0.011538462,0.002244669,-0.000663936,1.0975046471074479,1.1735003645609978
2019-09-16,0,0,0,289.0403748,-0.003088956,-0.026378897,0.0,-0.006329114,-0.034220532,-0.016797312,-0.0,1.0975046471074479,1.169875473568885
2019-09-17,1,1,0,289.7722778,0.002532183,0.002463054,0.0,0.006369427,0.003937008,0.005694761,0.002532183,1.1002837297172743,1.172837812355173
2019-09-18,1,1,0,289.9455872,0.000598088,-0.002457002,0.0,0.0,0.0,0.002265006,0.000598088,1.1009417962126136,1.1735392725766889
2019-09-19,0,1,1,289.9263611,-6.63e-05,-0.017241379,0.0,0.0,-0.02745098,-0.011299435,-6.63e-05,1.1008688037715246,1.173461466922917
2019-09-20,0,0,0,288.556488,-0.0047249,0.010025063,0.008064516,0.006329114,0.008064516,0.006857143,-0.0,1.1008688037715246,1.167916978837853
2019-09-23,0,0,0,288.4887695,-0.00023468,0.047146402,0.024,0.025157233,0.064,0.03291714,-0.0,1.1008688037715246,1.1676428920812592
2019-09-24,0,1,1,286.2250366,-0.007846867,-0.014218009,-0.0078125,-0.006134969,-0.018796992,-0.008791209,-0.007846867,1.0922304326838803,1.158480553603602
2019-09-25,1,0,-1,287.9179993,0.005914796,0.0,0.0,0.0,0.0,0.0,0.0,1.0922304326838803,1.1653327297481342
2019-09-26,0,1,1,287.3182068,-0.002083206,0.007211538,0.015748031,0.012345679,0.007662835,0.00886918,-0.002083206,1.0899550916931307,1.1629051016135266
2019-09-27,0,0,0,285.7703857,-0.005387132,0.040572792,0.023255814,0.024390244,0.049429658,0.027472527,-0.0,1.0899550916931307,1.156640378327661
2019-09-30,1,1,0,287.0956726,0.004637593,-0.006880734,-0.007575758,-0.005952381,-0.014492754,-0.002139037,0.004637593,1.095009859796681,1.1620044056497107
2019-10-01,0,1,1,283.6808167,-0.011894488,0.060046189,0.030534351,0.023952096,0.080882353,0.064308682,-0.011894488,1.0819852781594477,1.148182958190763
2019-10-02,0,0,0,278.6696777,-0.017664708,0.023965142,0.007407407,0.011695906,0.037414966,0.010070493,-0.0,1.0819852781594477,1.127900641503747
2019-10-03,1,0,-1,280.9527588,0.008192786,-0.036170213,-0.007352941,-0.005780347,-0.055737705,-0.017946162,0.0,1.0819852781594477,1.1371412900888498
2019-10-04,1,0,-1,284.7546082,0.013531988,-0.011037528,-0.007407407,-0.011627907,-0.020833333,-0.001015228,0.0,1.0819852781594477,1.1525290723806365
2019-10-07,0,0,0,283.526001,-0.004314617,-0.013392857,0.0,0.005882353,-0.021276596,0.0,-0.0,1.0819852781594477,1.1475563508519488
2019-10-08,0,1,1,279.1243286,-0.015524757,-0.011312217,0.0,0.0,-0.02173913,-0.005081301,-0.015524757,1.065187719638445,1.1297408173611656
2019-10-09,1,0,-1,281.7750244,0.00949647,-0.032036613,-0.014925373,-0.01754386,-0.037037037,-0.020429009,0.0,1.065187719638445,1.1404693671410113
2019-10-10,1,0,-1,283.6808167,0.006763524,-0.007092199,0.0,0.0,-0.019230769,0.0,0.0,1.065187719638445,1.1481829590769344
2019-10-11,1,1,0,286.6217041,0.010366889,0.004761905,0.0,0.0,0.007843137,-0.003128259,0.010366889,1.0762304024920997,1.1600860443653764
2019-10-14,0,1,1,286.3024902,-0.001113711,0.004739336,0.0,0.0,0.003891051,0.0041841,-0.001113711,1.0750317928543098,1.1587940437768203
2019-10-15,1,1,0,289.1369629,0.009900272,-0.002358491,0.0,0.0,-0.007751938,-0.00625,0.009900272,1.0856749000122152,1.1702664200021908
2019-10-16,0,0,0,288.6726074,-0.001606005,0.0,0.0,0.0,0.0,-0.002096436,-0.0,1.0856749000122152,1.1683869662803352
2019-10-17,1,1,0,289.5238647,0.002948868,-0.021276596,-0.015151515,-0.011904762,-0.02734375,-0.011554622,0.002948868,1.0888764119832646,1.1718323852168164
2019-10-18,0,1,1,288.2566528,-0.004376882,0.004830918,0.0,0.0,0.008032129,0.004250797,-0.004376882,1.0841105284154304,1.166703413142944
2019-10-21,1,1,0,290.2107544,0.006779034,-0.03125,-0.015384615,-0.018072289,-0.047808765,-0.006349206,0.006779034,1.0914597505473167,1.174612535248556
2019-10-22,0,1,1,289.2626953,-0.003266795,-0.019851117,-0.0234375,-0.018404908,-0.037656904,-0.005324814,-0.003266795,1.0878941752915274,1.1707753168914685
2019-10-23,1,0,-1,290.1043396,0.002909619,0.012658228,-0.016,-0.0125,0.013043478,0.009635974,0.0,1.0878941752915274,1.174181826998227
2019-10-24,1,1,0,290.5783691,0.001633997,0.0225,0.008130081,0.006329114,0.034334764,0.011664899,0.001633997,1.0896717911102713,1.1761004365809966
2019-10-25,1,1,0,291.7683105,0.004095079,-0.009779951,-0.008064516,-0.006289308,-0.008298755,0.001048218,0.004095079,1.0941340831789395,1.1809166607807304
2019-10-28,1,1,0,293.4128723,0.005636533,0.009876543,0.0,-0.006329114,0.012552301,-0.005235602,0.005636533,1.1003012060452024,1.187572936509471
