,realtime_start,realtime_end,date,value
265,2021-10-19,2021-10-19,1987-01-08,0.70
266,2021-10-19,2021-10-19,1987-01-09,0.75
267,2021-10-19,2021-10-19,1987-01-12,0.75
268,2021-10-19,2021-10-19,1987-01-13,0.87
269,2021-10-19,2021-10-19,1987-01-14,0.90
270,2021-10-19,2021-10-19,1987-01-15,0.83
271,2021-10-19,2021-10-19,1987-01-16,0.86
272,2021-10-19,2021-10-19,1987-01-19,.
273,2021-10-19,2021-10-19,1987-01-20,0.89
274,2021-10-19,2021-10-19,1987-01-21,0.88
275,2021-10-19,2021-10-19,1987-01-22,0.81
276,2021-10-19,2021-10-19,1987-01-23,0.79
277,2021-10-19,2021-10-19,1987-01-26,0.76
278,2021-10-19,2021-10-19,1987-01-27,0.76
279,2021-10-19,2021-10-19,1987-01-28,0.78
280,2021-10-19,2021-10-19,1987-01-29,0.77
281,2021-10-19,2021-10-19,1987-01-30,0.65
282,2021-10-19,2021-10-19,1987-02-02,0.70
283,2021-10-19,2021-10-19,1987-02-03,0.72
284,2021-10-19,2021-10-19,1987-02-04,0.65
285,2021-10-19,2021-10-19,1987-02-05,0.66
286,2021-10-19,2021-10-19,1987-02-06,0.59
287,2021-10-19,2021-10-19,1987-02-09,0.59
288,2021-10-19,2021-10-19,1987-02-10,0.62
289,2021-10-19,2021-10-19,1987-02-11,0.70
290,2021-10-19,2021-10-19,1987-02-12,0.84
291,2021-10-19,2021-10-19,1987-02-13,0.82
292,2021-10-19,2021-10-19,1987-02-16,.
293,2021-10-19,2021-10-19,1987-02-17,0.97
294,2021-10-19,2021-10-19,1987-02-18,1.03
295,2021-10-19,2021-10-19,1987-02-19,1.05
296,2021-10-19,2021-10-19,1987-02-20,1.01
297,2021-10-19,2021-10-19,1987-02-23,1.06
298,2021-10-19,2021-10-19,1987-02-24,1.06
299,2021-10-19,2021-10-19,1987-02-25,1.02
300,2021-10-19,2021-10-19,1987-02-26,0.99
