,realtime_start,realtime_end,date,value
180,2021-10-19,2021-10-19,1997-09-05,1.44
181,2021-10-19,2021-10-19,1997-09-08,1.43
182,2021-10-19,2021-10-19,1997-09-09,1.44
183,2021-10-19,2021-10-19,1997-09-10,1.39
184,2021-10-19,2021-10-19,1997-09-11,1.40
185,2021-10-19,2021-10-19,1997-09-12,1.46
186,2021-10-19,2021-10-19,1997-09-15,1.46
187,2021-10-19,2021-10-19,1997-09-16,1.51
188,2021-10-19,2021-10-19,1997-09-17,1.47
189,2021-10-19,2021-10-19,1997-09-18,1.44
190,2021-10-19,2021-10-19,1997-09-19,1.43
191,2021-10-19,2021-10-19,1997-09-22,1.41
192,2021-10-19,2021-10-19,1997-09-23,1.43
193,2021-10-19,2021-10-19,1997-09-24,1.46
194,2021-10-19,2021-10-19,1997-09-25,1.42
195,2021-10-19,2021-10-19,1997-09-26,1.41
196,2021-10-19,2021-10-19,1997-09-29,1.42
197,2021-10-19,2021-10-19,1997-09-30,1.46
198,2021-10-19,2021-10-19,1997-10-01,1.47
199,2021-10-19,2021-10-19,1997-10-02,1.49
200,2021-10-19,2021-10-19,1997-10-03,1.48
201,2021-10-19,2021-10-19,1997-10-06,1.49
202,2021-10-19,2021-10-19,1997-10-07,1.49
203,2021-10-19,2021-10-19,1997-10-08,1.40
204,2021-10-19,2021-10-19,1997-10-09,1.42
205,2021-10-19,2021-10-19,1997-10-10,1.42
206,2021-10-19,2021-10-19,1997-10-13,1.48
207,2021-10-19,2021-10-19,1997-10-14,1.41
208,2021-10-19,2021-10-19,1997-10-15,1.40
209,2021-10-19,2021-10-19,1997-10-16,1.40
210,2021-10-19,2021-10-19,1997-10-17,1.39
211,2021-10-19,2021-10-19,1997-10-20,1.39
212,2021-10-19,2021-10-19,1997-10-21,1.39
213,2021-10-19,2021-10-19,1997-10-22,1.39
214,2021-10-19,2021-10-19,1997-10-23,1.45
215,2021-10-19,2021-10-19,1997-10-24,1.47
216,2021-10-19,2021-10-19,1997-10-27,1.61
217,2021-10-19,2021-10-19,1997-10-28,1.61
218,2021-10-19,2021-10-19,1997-10-29,1.61
219,2021-10-19,2021-10-19,1997-10-30,1.66
220,2021-10-19,2021-10-19,1997-10-31,1.68
221,2021-10-19,2021-10-19,1997-11-03,1.62
222,2021-10-19,2021-10-19,1997-11-04,1.60
223,2021-10-19,2021-10-19,1997-11-05,1.59
224,2021-10-19,2021-10-19,1997-11-06,1.61
225,2021-10-19,2021-10-19,1997-11-07,1.59
226,2021-10-19,2021-10-19,1997-11-10,1.61
227,2021-10-19,2021-10-19,1997-11-11,1.60
228,2021-10-19,2021-10-19,1997-11-12,1.61
229,2021-10-19,2021-10-19,1997-11-13,1.63
230,2021-10-19,2021-10-19,1997-11-14,1.65
231,2021-10-19,2021-10-19,1997-11-17,1.66
232,2021-10-19,2021-10-19,1997-11-18,1.66
233,2021-10-19,2021-10-19,1997-11-19,1.66
234,2021-10-19,2021-10-19,1997-11-20,1.65
235,2021-10-19,2021-10-19,1997-11-21,1.65
236,2021-10-19,2021-10-19,1997-11-24,1.62
237,2021-10-19,2021-10-19,1997-11-25,1.63
238,2021-10-19,2021-10-19,1997-11-26,1.60
239,2021-10-19,2021-10-19,1997-11-27,1.60
240,2021-10-19,2021-10-19,1997-11-28,1.60
241,2021-10-19,2021-10-19,1997-11-30,1.61
242,2021-10-19,2021-10-19,1997-12-01,1.63
243,2021-10-19,2021-10-19,1997-12-02,1.61
244,2021-10-19,2021-10-19,1997-12-03,1.63
245,2021-10-19,2021-10-19,1997-12-04,1.63
246,2021-10-19,2021-10-19,1997-12-05,1.58
247,2021-10-19,2021-10-19,1997-12-08,1.57
248,2021-10-19,2021-10-19,1997-12-09,1.58
249,2021-10-19,2021-10-19,1997-12-10,1.59
250,2021-10-19,2021-10-19,1997-12-11,1.63
251,2021-10-19,2021-10-19,1997-12-12,1.67
252,2021-10-19,2021-10-19,1997-12-15,1.63
253,2021-10-19,2021-10-19,1997-12-16,1.63
254,2021-10-19,2021-10-19,1997-12-17,1.63
255,2021-10-19,2021-10-19,1997-12-18,1.61
256,2021-10-19,2021-10-19,1997-12-19,1.64
257,2021-10-19,2021-10-19,1997-12-22,1.64
258,2021-10-19,2021-10-19,1997-12-23,1.65
259,2021-10-19,2021-10-19,1997-12-24,1.65
260,2021-10-19,2021-10-19,1997-12-25,.
261,2021-10-19,2021-10-19,1997-12-26,1.64
262,2021-10-19,2021-10-19,1997-12-29,1.63
263,2021-10-19,2021-10-19,1997-12-30,1.62
264,2021-10-19,2021-10-19,1997-12-31,1.68
265,2021-10-19,2021-10-19,1998-01-01,.
266,2021-10-19,2021-10-19,1998-01-02,1.71
267,2021-10-19,2021-10-19,1998-01-05,1.73
268,2021-10-19,2021-10-19,1998-01-06,1.74
269,2021-10-19,2021-10-19,1998-01-07,1.74
270,2021-10-19,2021-10-19,1998-01-08,1.78
271,2021-10-19,2021-10-19,1998-01-09,1.81
272,2021-10-19,2021-10-19,1998-01-12,1.82
273,2021-10-19,2021-10-19,1998-01-13,1.83
274,2021-10-19,2021-10-19,1998-01-14,1.81
275,2021-10-19,2021-10-19,1998-01-15,1.80
276,2021-10-19,2021-10-19,1998-01-16,1.78
277,2021-10-19,2021-10-19,1998-01-19,1.78
278,2021-10-19,2021-10-19,1998-01-20,1.77
279,2021-10-19,2021-10-19,1998-01-21,1.78
280,2021-10-19,2021-10-19,1998-01-22,1.78
281,2021-10-19,2021-10-19,1998-01-23,1.75
282,2021-10-19,2021-10-19,1998-01-26,1.77
283,2021-10-19,2021-10-19,1998-01-27,1.75
284,2021-10-19,2021-10-19,1998-01-28,1.74
285,2021-10-19,2021-10-19,1998-01-29,1.78
286,2021-10-19,2021-10-19,1998-01-30,1.78
287,2021-10-19,2021-10-19,1998-01-31,1.75
288,2021-10-19,2021-10-19,1998-02-02,1.74
289,2021-10-19,2021-10-19,1998-02-03,1.73
290,2021-10-19,2021-10-19,1998-02-04,1.74
291,2021-10-19,2021-10-19,1998-02-05,1.73
292,2021-10-19,2021-10-19,1998-02-06,1.73
293,2021-10-19,2021-10-19,1998-02-09,1.72
294,2021-10-19,2021-10-19,1998-02-10,1.72
295,2021-10-19,2021-10-19,1998-02-11,1.73
296,2021-10-19,2021-10-19,1998-02-12,1.71
297,2021-10-19,2021-10-19,1998-02-13,1.73
298,2021-10-19,2021-10-19,1998-02-16,1.72
299,2021-10-19,2021-10-19,1998-02-17,1.70
300,2021-10-19,2021-10-19,1998-02-18,1.72
301,2021-10-19,2021-10-19,1998-02-19,1.72
302,2021-10-19,2021-10-19,1998-02-20,1.70
303,2021-10-19,2021-10-19,1998-02-23,1.69
304,2021-10-19,2021-10-19,1998-02-24,1.67
305,2021-10-19,2021-10-19,1998-02-25,1.69
306,2021-10-19,2021-10-19,1998-02-26,1.68
307,2021-10-19,2021-10-19,1998-02-27,1.69
308,2021-10-19,2021-10-19,1998-02-28,1.74
309,2021-10-19,2021-10-19,1998-03-02,1.70
310,2021-10-19,2021-10-19,1998-03-03,1.70
311,2021-10-19,2021-10-19,1998-03-04,1.71
312,2021-10-19,2021-10-19,1998-03-05,1.71
313,2021-10-19,2021-10-19,1998-03-06,1.73
314,2021-10-19,2021-10-19,1998-03-09,1.74
315,2021-10-19,2021-10-19,1998-03-10,1.74
316,2021-10-19,2021-10-19,1998-03-11,1.75
317,2021-10-19,2021-10-19,1998-03-12,1.78
318,2021-10-19,2021-10-19,1998-03-13,1.77
319,2021-10-19,2021-10-19,1998-03-16,1.77
320,2021-10-19,2021-10-19,1998-03-17,1.75
321,2021-10-19,2021-10-19,1998-03-18,1.74
322,2021-10-19,2021-10-19,1998-03-19,1.74
323,2021-10-19,2021-10-19,1998-03-20,1.73
324,2021-10-19,2021-10-19,1998-03-23,1.73
325,2021-10-19,2021-10-19,1998-03-24,1.72
326,2021-10-19,2021-10-19,1998-03-25,1.72
327,2021-10-19,2021-10-19,1998-03-26,1.71
328,2021-10-19,2021-10-19,1998-03-27,1.69
329,2021-10-19,2021-10-19,1998-03-30,1.67
330,2021-10-19,2021-10-19,1998-03-31,1.71
331,2021-10-19,2021-10-19,1998-04-01,1.70
332,2021-10-19,2021-10-19,1998-04-02,1.74
333,2021-10-19,2021-10-19,1998-04-03,1.76
334,2021-10-19,2021-10-19,1998-04-06,1.74
335,2021-10-19,2021-10-19,1998-04-07,1.75
336,2021-10-19,2021-10-19,1998-04-08,1.74
337,2021-10-19,2021-10-19,1998-04-09,1.74
338,2021-10-19,2021-10-19,1998-04-10,.
339,2021-10-19,2021-10-19,1998-04-13,1.72
340,2021-10-19,2021-10-19,1998-04-14,1.73
341,2021-10-19,2021-10-19,1998-04-15,1.74
342,2021-10-19,2021-10-19,1998-04-16,1.74
343,2021-10-19,2021-10-19,1998-04-17,1.72
344,2021-10-19,2021-10-19,1998-04-20,1.70
345,2021-10-19,2021-10-19,1998-04-21,1.69
346,2021-10-19,2021-10-19,1998-04-22,1.69
347,2021-10-19,2021-10-19,1998-04-23,1.69
348,2021-10-19,2021-10-19,1998-04-24,1.69
349,2021-10-19,2021-10-19,1998-04-27,1.66
350,2021-10-19,2021-10-19,1998-04-28,1.66
351,2021-10-19,2021-10-19,1998-04-29,1.66
352,2021-10-19,2021-10-19,1998-04-30,1.80
353,2021-10-19,2021-10-19,1998-05-01,1.80
354,2021-10-19,2021-10-19,1998-05-04,1.78
355,2021-10-19,2021-10-19,1998-05-05,1.77
356,2021-10-19,2021-10-19,1998-05-06,1.79
357,2021-10-19,2021-10-19,1998-05-07,1.80
358,2021-10-19,2021-10-19,1998-05-08,1.78
359,2021-10-19,2021-10-19,1998-05-11,1.75
360,2021-10-19,2021-10-19,1998-05-12,1.79
361,2021-10-19,2021-10-19,1998-05-13,1.80
362,2021-10-19,2021-10-19,1998-05-14,1.78
363,2021-10-19,2021-10-19,1998-05-15,1.77
364,2021-10-19,2021-10-19,1998-05-18,1.80
365,2021-10-19,2021-10-19,1998-05-19,1.79
366,2021-10-19,2021-10-19,1998-05-20,1.81
367,2021-10-19,2021-10-19,1998-05-21,1.78
368,2021-10-19,2021-10-19,1998-05-22,1.79
369,2021-10-19,2021-10-19,1998-05-25,1.78
370,2021-10-19,2021-10-19,1998-05-26,1.80
371,2021-10-19,2021-10-19,1998-05-27,1.81
372,2021-10-19,2021-10-19,1998-05-28,1.79
373,2021-10-19,2021-10-19,1998-05-29,1.81
374,2021-10-19,2021-10-19,1998-05-31,1.86
375,2021-10-19,2021-10-19,1998-06-01,1.88
376,2021-10-19,2021-10-19,1998-06-02,1.87
377,2021-10-19,2021-10-19,1998-06-03,1.87
378,2021-10-19,2021-10-19,1998-06-04,1.85
379,2021-10-19,2021-10-19,1998-06-05,1.85
380,2021-10-19,2021-10-19,1998-06-08,1.85
381,2021-10-19,2021-10-19,1998-06-09,1.85
382,2021-10-19,2021-10-19,1998-06-10,1.87
383,2021-10-19,2021-10-19,1998-06-11,1.89
384,2021-10-19,2021-10-19,1998-06-12,1.90
385,2021-10-19,2021-10-19,1998-06-15,1.93
386,2021-10-19,2021-10-19,1998-06-16,1.90
387,2021-10-19,2021-10-19,1998-06-17,1.90
388,2021-10-19,2021-10-19,1998-06-18,1.90
389,2021-10-19,2021-10-19,1998-06-19,1.91
390,2021-10-19,2021-10-19,1998-06-22,1.91
391,2021-10-19,2021-10-19,1998-06-23,1.92
392,2021-10-19,2021-10-19,1998-06-24,1.91
393,2021-10-19,2021-10-19,1998-06-25,1.90
394,2021-10-19,2021-10-19,1998-06-26,1.90
395,2021-10-19,2021-10-19,1998-06-29,1.90
396,2021-10-19,2021-10-19,1998-06-30,1.99
397,2021-10-19,2021-10-19,1998-07-01,2.01
398,2021-10-19,2021-10-19,1998-07-02,2.03
399,2021-10-19,2021-10-19,1998-07-03,2.03
400,2021-10-19,2021-10-19,1998-07-06,2.04
401,2021-10-19,2021-10-19,1998-07-07,2.02
402,2021-10-19,2021-10-19,1998-07-08,2.00
403,2021-10-19,2021-10-19,1998-07-09,2.02
404,2021-10-19,2021-10-19,1998-07-10,2.02
405,2021-10-19,2021-10-19,1998-07-13,1.98
406,2021-10-19,2021-10-19,1998-07-14,1.97
407,2021-10-19,2021-10-19,1998-07-15,1.95
408,2021-10-19,2021-10-19,1998-07-16,1.95
409,2021-10-19,2021-10-19,1998-07-17,1.95
410,2021-10-19,2021-10-19,1998-07-20,1.95
411,2021-10-19,2021-10-19,1998-07-21,1.95
412,2021-10-19,2021-10-19,1998-07-22,1.95
413,2021-10-19,2021-10-19,1998-07-23,1.95
414,2021-10-19,2021-10-19,1998-07-24,1.94
415,2021-10-19,2021-10-19,1998-07-27,1.95
416,2021-10-19,2021-10-19,1998-07-28,1.85
417,2021-10-19,2021-10-19,1998-07-29,1.95
418,2021-10-19,2021-10-19,1998-07-30,1.96
419,2021-10-19,2021-10-19,1998-07-31,2.03
420,2021-10-19,2021-10-19,1998-08-03,2.05
421,2021-10-19,2021-10-19,1998-08-04,2.08
422,2021-10-19,2021-10-19,1998-08-05,2.08
423,2021-10-19,2021-10-19,1998-08-06,2.09
424,2021-10-19,2021-10-19,1998-08-07,2.11
425,2021-10-19,2021-10-19,1998-08-10,2.12
426,2021-10-19,2021-10-19,1998-08-11,2.25
427,2021-10-19,2021-10-19,1998-08-12,2.26
428,2021-10-19,2021-10-19,1998-08-13,2.25
429,2021-10-19,2021-10-19,1998-08-14,2.26
430,2021-10-19,2021-10-19,1998-08-17,2.28
431,2021-10-19,2021-10-19,1998-08-18,2.32
432,2021-10-19,2021-10-19,1998-08-19,2.32
