,RunDate,PeriodEndDate,FeatureLag,n_estimators,max_depth,max_features,random_state,verbose,Annual Return,Annual Volatility,Sharpe Ratio,Calmar Ratio,Max Drawdown,Sortino Ratio,Alpha,Beta
11,2021-10-19,2021-10-18,12,500,5000,auto,0,1,0.12697449540350236,0.15720383332663576,0.8398705512331743,0.6541230583129608,-0.19411407959074312,1.1268170074911577,0.018830338696044446,0.4826488721520111
12,2021-10-19,2021-10-18,13,500,5000,auto,0,1,0.18529409490583393,0.18643813665229161,1.0051756706586503,1.2154583326531545,-0.15244792020255113,1.4862448694730321,0.028140693613416534,0.6796446233653612
13,2021-10-19,2021-10-18,14,500,5000,auto,0,1,0.18256922121521946,0.17632272522309173,1.0396377935205108,0.9957717712040276,-0.18334444347068374,1.5017948043366998,0.04137323777787594,0.6077792331486449
14,2021-10-19,2021-10-18,15,500,5000,auto,0,1,0.1026504145907483,0.1903174240087323,0.6093230658604722,0.35416170008532843,-0.2898405292441748,0.8396365986954436,-0.049075042248448164,0.7078707930982027
15,2021-10-19,2021-10-18,16,500,5000,auto,0,1,0.21759594410641725,0.162159198432871,1.2958801807370985,1.187871004266972,-0.18318145937125083,1.853719429822503,0.09342930823858686,0.514275796479883
16,2021-10-19,2021-10-18,17,500,5000,auto,0,1,0.19226240296094876,0.17548556404267712,1.089601983812458,0.7907119775479104,-0.243150993560483,1.6401473127042447,0.051029570806713,0.6021003903859833
17,2021-10-19,2021-10-18,18,500,5000,auto,0,1,0.005633227887470449,0.16514624217806528,0.11741601017199406,0.022143206963605944,-0.2543998209802713,0.15362901476560323,-0.10052982377773079,0.5334914139963441
18,2021-10-19,2021-10-18,19,500,5000,auto,0,1,0.10503339542352852,0.18258256590293312,0.6385756174301697,0.4448209211298946,-0.23612512459335774,0.9151673874237282,-0.03577293198844722,0.6514160856372736
19,2021-10-19,2021-10-18,20,500,5000,auto,0,1,0.09098507580306636,0.15638784352132068,0.6355404921726796,0.5495637478932139,-0.1655587293591748,0.8561675211696201,-0.012728337872176199,0.4776492508857544
20,2021-10-19,2021-10-18,21,500,5000,auto,0,1,0.11327472426064555,0.1922612157269579,0.6553243568141754,0.33916697089471703,-0.3339792314146293,0.8782633527662583,-0.0427690780686627,0.7224317263009399
21,2021-10-19,2021-10-18,22,500,5000,auto,0,1,0.12909287622946874,0.1918830715620649,0.7299053342781032,0.3358168107880469,-0.3844145739057316,0.9796537896505131,-0.028569554916566542,0.7196226036794325
22,2021-10-19,2021-10-18,23,500,5000,auto,0,1,0.2385196500306923,0.18808610772658185,1.2322033332251165,1.700853301681717,-0.14023528648523437,1.7937401239625748,0.071558645229016,0.6923608146682981
23,2021-10-19,2021-10-18,24,500,5000,auto,0,1,0.08397241175203285,0.18244108525307098,0.5344870634642871,0.30249567926238347,-0.277598714655344,0.7033156888086974,-0.05378179596054089,0.6504361312516658
24,2021-10-19,2021-10-18,25,500,5000,auto,0,1,0.1559540329549649,0.18097880372401093,0.8918241310946586,0.5377925063762221,-0.2899892265249686,1.2686679398920326,0.011088930258989382,0.6401539941507541
25,2021-10-19,2021-10-18,26,500,5000,auto,0,1,0.14529820780072744,0.15731477403337757,0.9406143165059315,1.3141191063983584,-0.11056700042886536,1.4121830268078919,0.035020959379729044,0.4833877497260567
26,2021-10-19,2021-10-18,27,500,5000,auto,0,1,0.2715110286720681,0.158433752384389,1.5955237335337447,1.5636054780951043,-0.17364420403722441,2.4821131740068694,0.14712278221287267,0.4916552416338119
27,2021-10-19,2021-10-18,28,500,5000,auto,0,1,0.15755040744557558,0.15483745943155283,1.0221936526190663,0.8505649213432044,-0.1852303139856431,1.51601008620754,0.04944632293747975,0.46830922518287216
28,2021-10-19,2021-10-18,29,500,5000,auto,0,1,0.11720180956904414,0.15716551049670588,0.7845647295198747,0.49366529497195033,-0.23741148256270161,1.060989656931448,0.010040096335027116,0.4823992003232368
