,realtime_start,realtime_end,date,value
224,2021-10-19,2021-10-19,1997-11-06,6.44
225,2021-10-19,2021-10-19,1997-11-07,6.49
226,2021-10-19,2021-10-19,1997-11-10,6.41
227,2021-10-19,2021-10-19,1997-11-11,6.40
228,2021-10-19,2021-10-19,1997-11-12,6.46
229,2021-10-19,2021-10-19,1997-11-13,6.54
230,2021-10-19,2021-10-19,1997-11-14,6.59
231,2021-10-19,2021-10-19,1997-11-17,6.58
232,2021-10-19,2021-10-19,1997-11-18,6.56
233,2021-10-19,2021-10-19,1997-11-19,6.61
234,2021-10-19,2021-10-19,1997-11-20,6.58
235,2021-10-19,2021-10-19,1997-11-21,6.59
236,2021-10-19,2021-10-19,1997-11-24,6.60
237,2021-10-19,2021-10-19,1997-11-25,6.60
238,2021-10-19,2021-10-19,1997-11-26,6.55
239,2021-10-19,2021-10-19,1997-11-27,6.55
240,2021-10-19,2021-10-19,1997-11-28,6.59
241,2021-10-19,2021-10-19,1997-11-30,7.05
242,2021-10-19,2021-10-19,1997-12-01,7.05
243,2021-10-19,2021-10-19,1997-12-02,6.98
244,2021-10-19,2021-10-19,1997-12-03,6.96
245,2021-10-19,2021-10-19,1997-12-04,6.91
246,2021-10-19,2021-10-19,1997-12-05,6.89
247,2021-10-19,2021-10-19,1997-12-08,6.83
248,2021-10-19,2021-10-19,1997-12-09,6.87
249,2021-10-19,2021-10-19,1997-12-10,6.97
250,2021-10-19,2021-10-19,1997-12-11,7.03
251,2021-10-19,2021-10-19,1997-12-12,7.15
252,2021-10-19,2021-10-19,1997-12-15,7.03
253,2021-10-19,2021-10-19,1997-12-16,7.09
254,2021-10-19,2021-10-19,1997-12-17,7.07
255,2021-10-19,2021-10-19,1997-12-18,7.14
256,2021-10-19,2021-10-19,1997-12-19,7.22
257,2021-10-19,2021-10-19,1997-12-22,7.29
258,2021-10-19,2021-10-19,1997-12-23,7.32
259,2021-10-19,2021-10-19,1997-12-24,7.31
260,2021-10-19,2021-10-19,1997-12-25,.
261,2021-10-19,2021-10-19,1997-12-26,7.31
262,2021-10-19,2021-10-19,1997-12-29,7.31
263,2021-10-19,2021-10-19,1997-12-30,7.31
264,2021-10-19,2021-10-19,1997-12-31,7.31
265,2021-10-19,2021-10-19,1998-01-01,.
266,2021-10-19,2021-10-19,1998-01-02,7.40
267,2021-10-19,2021-10-19,1998-01-05,7.53
268,2021-10-19,2021-10-19,1998-01-06,7.54
269,2021-10-19,2021-10-19,1998-01-07,7.46
270,2021-10-19,2021-10-19,1998-01-08,7.47
271,2021-10-19,2021-10-19,1998-01-09,7.55
272,2021-10-19,2021-10-19,1998-01-12,7.54
273,2021-10-19,2021-10-19,1998-01-13,7.43
274,2021-10-19,2021-10-19,1998-01-14,7.33
275,2021-10-19,2021-10-19,1998-01-15,7.26
276,2021-10-19,2021-10-19,1998-01-16,7.12
277,2021-10-19,2021-10-19,1998-01-19,7.13
278,2021-10-19,2021-10-19,1998-01-20,6.99
279,2021-10-19,2021-10-19,1998-01-21,6.94
280,2021-10-19,2021-10-19,1998-01-22,6.94
281,2021-10-19,2021-10-19,1998-01-23,6.80
282,2021-10-19,2021-10-19,1998-01-26,6.84
283,2021-10-19,2021-10-19,1998-01-27,6.83
284,2021-10-19,2021-10-19,1998-01-28,6.78
285,2021-10-19,2021-10-19,1998-01-29,6.88
286,2021-10-19,2021-10-19,1998-01-30,7.05
287,2021-10-19,2021-10-19,1998-01-31,7.06
288,2021-10-19,2021-10-19,1998-02-02,6.98
289,2021-10-19,2021-10-19,1998-02-03,7.11
